Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,Amount
Capital O 46356 White Mg,"₹ 1,881",Ulsoor | 860 m from Ulsoor Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 465 Off,4.5, (Excellent),128,18%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,881"
"La Classic- Attibele, Hosur","₹ 2,750",Yadavanahalli | 30.4 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 702 Off,3.6, (Good),69,51%,"['Lounge', 'Free Parking', 'Lawn']",Bangalore,9/8/2021,11/8/2021,"2,750"
The Chevron Brigade,"₹ 1,520",Ashok Nagar | 65 m from Garuda Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 738 Off,4, (Very Good),119,16%,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,520"
Icon Business Hotel by Bhagini,"₹ 1,194",HAL old airport road | 340 m from Sankara Eye Hospital - Bangalore,Exclusive Offer - HDFC Credit Card Users. Get INR 742 Off,4, (Very Good),53,51%,"['Bar', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,194"
OYO 7897 Status Suites,"₹ 1,475",Domlur Layout | 4.4 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 364 Off,4.2, (Very Good),299,15%,"['ATM', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,475"
The Urban Nest,"₹ 1,513",Sanjaynagar,Exclusive Offer - HDFC Credit Card Users. Get INR 940 Off,3.3, (Good),769,24%,"['Free Parking', 'Bakery', 'Cafe']",Bangalore,9/8/2021,11/8/2021,"1,513"
Bloomrooms @ Indiranagar,"₹ 1,805", | 750 m from 100 Feet Road Indiranagar,,3.9, (Good),526,20%,"['Free Parking', 'Business Centre', 'Vehicle Rentals']",Bangalore,9/8/2021,11/8/2021,"1,805"
REGENTA PLACE BY ROYAL ORCHID HOTELS,"₹ 1,538",Shivaji Nagar | 3.8 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 669 Off,3.5, (Good),79,51%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"1,538"
Capital O 28398 Mysore Gate,"₹ 1,309",Mysore road | 3.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 323 Off,4.4, (Very Good),129,24%,"['Free Parking', 'Bar', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,309"
OYO TOWNHOUSE 332 Varthur main road,"₹ 1,381",HAL old airport road,Exclusive Offer - HDFC Credit Card Users. Get INR 341 Off,4.4, (Very Good),528,5%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,"1,381"
Srinidhi Residency,₹ 841,Murugeshpalya | 1.2 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 214 Off,3.7, (Good),445,18%,"['Business Centre', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,841
Rest Inn SKR a Petrichor Hotel,"₹ 1,617",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 412 Off,4.2, (Very Good),107,51%,"['Indoor Games', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,617"
Hotel Vellara,"₹ 1,351",Richmond road | 990 m from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 656 Off,3.9, (Good),63,51%,"['ATM', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,351"
OYO 12737 JK Residency,"₹ 1,481",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 366 Off,3.6, (Good),107,15%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,481"
Shoba Tulip,₹ 749,Devinagar,Exclusive Offer - HDFC Credit Card Users. Get INR 754 Off,4.2, (Very Good),41,25%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,749
Tristar Service Apartments,"₹ 2,209",Doopanahalli | 930 m from 100 Feet Road Indiranagar,Exclusive Offer - HDFC Credit Card Users. Get INR 564 Off,4.4, (Very Good),300,16%,"['Kitchenette', 'Living Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"2,209"
Radisson Blu Bengaluru Outer Ring Road,"₹ 3,219",Outer Ring Road,,3.1, (Good),79,51%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"3,219"
Kensington Suites,"₹ 1,585",Marathahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 1822 Off,4.1, (Very Good),352,38%,"['Business Centre', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,585"
Springs Hotel and Spa,"₹ 2,203",Sudhama Nagar | 3.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1070 Off,4.9, (Excellent),331,6%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,203"
Ginger (Inner Ring Road),"₹ 1,863",Domlur Layout | 2.4 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 942 Off,4, (Very Good),183,22%,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,863"
Halcyon Bangalore,"₹ 1,763",Koramangala | 4.9 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 724 Off,4, (Very Good),153,71%,"['Kitchenette', 'Living Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,763"
Capital O 29584 Fortune Gateway,"₹ 1,451",Sonnapanahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 358 Off,4.1, (Very Good),462,24%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,451"
I V Sanctum,"₹ 2,110",Gandhi Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 1025 Off,3.9, (Good),1195,19%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,110"
Tranzotel Bangalore Airport,₹ 814,Hunasamaranahalli | 500 m from Hunasamaranahalli Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 691 Off,3.9, (Good),355,30%,"['Free Parking', 'Vehicle Rentals', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,814
Atlaantic Inn,₹ 812,Jaya Chamarajendra Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 817 Off,3.7, (Good),12,51%,"['Lounge', 'Tours and Treks', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,812
Pai Viceroy,"₹ 2,954",Jayanagar | 4.0 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,4.2, (Very Good),257,16%,"['Butler Services', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,954"
X by Bloom l Indiranagar,"₹ 2,250",Hoysala Nagar,,3.9, (Good),542,37%,"['Free Parking', 'Vehicle Rentals', 'Cafe']",Bangalore,9/8/2021,11/8/2021,"2,250"
Coral Tree,"₹ 2,749",R. T. Nagar | 3.5 km from Bangalore Cantt. Railway Station,,4.6, (Excellent),611,38%,"['Conference Room', 'Bar', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"2,749"
Capital O 37517 Withinn Hotel,"₹ 1,346",Mathikere,Exclusive Offer - HDFC Credit Card Users. Get INR 332 Off,4, (Very Good),523,16%,"['Kitchenette', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,346"
Caramel Hotels,₹ 982,Armane Nagar | 2.2 km from Lottegollahalli Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 476 Off,4.6, (Excellent),128,10%,"['Lounge', 'Free Parking', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,982
Holiday Inn Express Bengaluru Yeshwantpur,"₹ 1,880",Tumkur road,,3.7, (Good),671,,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,880"
Courtyard by Marriott Bengaluru Hebbal,"₹ 4,388",Outer Ring Road | 2.7 km from Manyata Embassy Business Park,,4.2, (Very Good),125,51%,"['Free Parking', 'Free Shuttle Service', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"4,388"
"Taj MG Road, Bengaluru","₹ 4,500",Ulsoor,HDFC Credit Card Offer. Get INR 1350 Off & INR 500 TAJ Gift Card,4.3, (Very Good),221,37%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"4,500"
The Ritz-Carlton,"₹ 4,688",Residency Road | 4.9 km from Kempegowda Bus Station,,4.1, (Very Good),716,14%,"['Yoga', 'Lounge', 'Indoor Games']",Bangalore,9/8/2021,11/8/2021,"4,688"
The Pride Hotel Bangalore,"₹ 3,299",Richmond road | 3.7 km from Kempegowda Bus Station,,4.7, (Excellent),136,,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"3,299"
Capital O 12543 3 Square,"₹ 1,422",Outer Ring Road | 1.4 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 351 Off,4.6, (Excellent),793,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,422"
Aloft Bengaluru Cessna Business Park,"₹ 2,999",Kadubeesanahalli | 700 m from Cessna Business Park,,4.8, (Excellent),154,,"['Lounge', 'Indoor Games', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,999"
Ballal Residency,"₹ 1,863",Residency Road | 160 m from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 1158 Off,3.8, (Good),933,,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,863"
OYO 46682 New Andra House,"₹ 1,744",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 431 Off,4.2, (Very Good),121,51%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,744"
Golden Lotus,"₹ 1,684",Richmond road,Exclusive Offer - HDFC Credit Card Users. Get INR 429 Off,4.6, (Excellent),129,,"['Living Room', 'Free Wi-Fi', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,684"
Hotel Bella Vista,"₹ 1,752",Jigani | 26.7 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 1089 Off,3.9, (Good),667,40%,"['Indoor Games', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,752"
Hotel ABM Express Inn,₹ 831,Gandhi Nagar | 1.1 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 374 Off,3.7, (Good),72,51%,"['Free Wi-Fi', 'Elevator/Lift', '24-hour Room Service']",Bangalore,9/8/2021,11/8/2021,831
Daffodil Delight,"₹ 1,149",HBR Layout | 1.7 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 587 Off,3.9, (Good),461,15%,"['Indoor Games', 'Free Parking', 'Vehicle Rentals']",Bangalore,9/8/2021,11/8/2021,"1,149"
Istay Hotels Rajajinagar,"₹ 1,596",Rajajinagar | 4.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 774 Off,4.4, (Very Good),44,20%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"1,596"
OYO 14397 Varcity Phi Pavilion,"₹ 1,318",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 326 Off,4.1, (Very Good),183,14%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,318"
Akshaya Aura,"₹ 2,202",Gandhi Nagar | 1.2 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1069 Off,4, (Very Good),186,21%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,202"
"ITC Windsor,A Luxury Collection Hotel","₹ 3,400",Vasanth Nagar | 4.0 km from Kempegowda Bus Station,Get  INR 340 Cashback to Card,3.7, (Good),465,24%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"3,400"
Capital O 19360 Sai Suites Inn,"₹ 1,485",Outer Ring Road | 1.5 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 367 Off,3.3, (Good),159,51%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,"1,485"
A V Comforts,"₹ 1,114",Amruthahalli | 230 m from Hunasamaranahalli Bus Stop,,4, (Very Good),811,24%,"['Lounge', 'Butler Services', 'Tours and Treks']",Bangalore,9/8/2021,11/8/2021,"1,114"
THE HHI Select (The Hotel Hindusthan International Bangalore),"₹ 2,284",Outer Ring Road | 2.1 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 582 Off,4.3, (Very Good),492,60%,['Couple Friendly'],Bangalore,9/8/2021,11/8/2021,"2,284"
NPG Hotel,"₹ 1,482",Chikkajala | 25.1 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 719 Off,4.1, (Very Good),56,51%,"['Free Parking', 'Free Shuttle Service', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"1,482"
HOTEL PALLADIUM SUITES,"₹ 1,421",Gandhi Nagar | 1.3 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1101 Off,3.9, (Good),200,23%,"['Free Parking', 'Conference Room', 'Cafe']",Bangalore,9/8/2021,11/8/2021,"1,421"
Hotel Presidency,"₹ 1,929",Yerthiganahalli | 28.6 km from city centre7.9 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 492 Off,3.4, (Good),382,15%,"['Free Parking', 'Conference Room', 'Vehicle Rentals']",Bangalore,9/8/2021,11/8/2021,"1,929"
Octave Hotel & Spa Sarjapur Rd,"₹ 1,488",Harlur,,4.2, (Very Good),129,24%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,488"
Northern Suites @ E Block,₹ 841,Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 292 Off,3.9, (Good),88,29%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,841
The President Hotel,"₹ 2,786",Jayanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 1353 Off,3.5, (Good),793,44%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,786"
Blue Bells Boutique Hotel,"₹ 1,348",Koramangala | 840 m from Forum Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 837 Off,2.9,,861,,"['Indoor Games', 'Free Parking', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,348"
Hotel Silicrest,"₹ 1,556",Koramangala,Exclusive Offer - HDFC Credit Card Users. Get INR 1206 Off,4.1, (Very Good),87,53%,"['Butler Services', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"1,556"
AACCORD SUITES INN,"₹ 1,645",Bannerghatta Main road | 1.1 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 420 Off,4.2, (Very Good),390,16%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,645"
Keys Select Whitefield- By Lemon Tree Hotels,"₹ 1,639",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 850 Off,4.1, (Very Good),118,20%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"1,639"
Comfy - Koramangla,"₹ 1,338",Sadduguntepalya | 570 m from Forum Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 487 Off,3.6, (Good),202,40%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,338"
Icon Suites by Bhagini,"₹ 1,438",Marathahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 1023 Off,4.3, (Very Good),54,18%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,438"
OYO 9026 JJ Palace,"₹ 1,693",Mailasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 418 Off,3.9, (Good),1567,33%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,693"
Omicron Hotel 1 BHK Studio Rooms,"₹ 1,123",Thanisandra | 3.3 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 545 Off,4.4, (Very Good),116,11%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,123"
Holiday Inn Bengaluru Racecourse,"₹ 2,448",Gandhi Nagar | 1.6 km from Kempegowda Bus Station,,3.2, (Good),454,42%,"['Lounge', 'Kids Play Area', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"2,448"
RG Royal Hotel,"₹ 1,371",Yeshwanthpur,Exclusive Offer - HDFC Credit Card Users. Get INR 665 Off,3.8, (Good),12,51%,"['Indoor Games', 'Outdoor Sports', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"1,371"
Ibis Bengaluru Hosur Road ,"₹ 1,899",Hosur road | 4.7 km from Jayadeva Hospital,,4.2, (Very Good),55,20%,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"1,899"
Taj West End,"₹ 7,000",Sampangi Rama Nagar | 3.5 km from Kempegowda Bus Station,HDFC Credit Card Offer. Get INR 2100 Off & INR 500 TAJ Gift Card,4.1, (Very Good),725,14%,"['Lounge', 'Butler Services', 'Kids Play Area']",Bangalore,9/8/2021,11/8/2021,"7,000"
Royal Lotus View,"₹ 3,123",Meenakunte | 29.5 km from city centre9.5 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1517 Off,4.1, (Very Good),436,45%,"['Lounge', 'Indoor Games', 'Outdoor Sports']",Bangalore,9/8/2021,11/8/2021,"3,123"
Vivanta Bengaluru Residency Road,"₹ 3,500",Residency Road | 5.0 km from Kempegowda Bus Station,HDFC Credit Card Offer. Get INR 1050 Off & INR 500 TAJ Gift Card,4.3, (Very Good),840,27%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"3,500"
Radha Hometel Whitefield - A Sarovar Hotel,"₹ 3,790",Brookefield,,4.2, (Very Good),251,8%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"3,790"
OYO 6825 New Crescent Citadel,"₹ 1,481",HAL old airport road | 1.2 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 366 Off,4.2, (Very Good),145,26%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,481"
Hotel Ajantha,"₹ 1,176",Ashok Nagar | 2.1 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 632 Off,4.4, (Very Good),443,,"['Conference Room', 'Vehicle Rentals', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,176"
Hotel City Centaur,₹ 949,Near Bangalore Train Station | 950 m from Bangalore City Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 590 Off,4.2, (Very Good),572,,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,949
Sairam Residency Boutique Hotel,"₹ 1,197",Gandhi Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 928 Off,3.5, (Good),141,51%,['Couple Friendly'],Bangalore,9/8/2021,11/8/2021,"1,197"
SHERATON GRAND BENGALURU WHITEFIELD HOTEL & CONVENTION CENTRE,"₹ 4,138",Kundalahalli Gate road,,3.6, (Good),225,27%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"4,138"
Srinidhi Grand Inn,"₹ 3,087",Mysore road,Exclusive Offer - HDFC Credit Card Users. Get INR 1124 Off,3.7, (Good),1623,36%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"3,087"
Shangri-La Hotel,"₹ 7,000",Palace road | 810 m from Vikram Hospital,,4.1, (Very Good),823,25%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,9/8/2021,11/8/2021,"7,000"
Capital O 2235 Oh My Rooms Indranagar,"₹ 2,113",Domlur Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 522 Off,4.7, (Excellent),75,,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Bangalore,9/8/2021,11/8/2021,"2,113"
